date,count
2021-02-24,6
2021-02-25,2
2021-02-26,3
2021-02-27,5
2021-02-28,4
2021-03-01,0
2021-03-02,3
2021-03-03,3
2021-03-04,2
2021-03-06,6
2021-03-07,6
2021-03-08,6
2021-03-09,3
2021-03-10,2
2021-03-11,2
2021-03-12,2
2021-03-15,2
2021-03-16,6
2021-03-17,5
2021-03-18,3
2021-03-19,3
2021-03-20,7
2021-03-21,3
2021-03-22,6
2021-03-23,2
2021-03-24,5
2021-03-25,4
2021-03-26,5
2021-03-27,6
2021-03-28,2
2021-03-29,1
2021-03-30,3
2021-03-31,3
2021-04-01,1
2021-04-02,6
2021-04-03,3
2021-04-04,5
2021-04-05,4
2021-04-06,2
2021-04-07,2
2021-04-08,3
2021-04-09,5
2021-04-10,5
2021-04-11,2
2021-04-12,3
2021-04-13,5
2021-04-14,4
2021-04-15,2
2021-04-16,9
2021-04-17,17
2021-04-18,2
2021-04-19,2
2021-04-20,5
2021-04-21,16
2021-04-22,22
2021-04-23,7
2021-04-24,6
2021-04-25,78
2021-04-26,159
2021-04-27,166
2021-04-28,19
2021-04-29,48
2021-04-30,8
2021-05-01,62
2021-05-02,340
2021-05-03,2196
2021-05-04,1163
2021-05-05,746
2021-05-06,780
2021-05-07,836
2021-05-08,1842
2021-05-09,1087
2021-05-10,846
2021-05-11,830
2021-05-12,683
2021-05-13,320
2021-05-14,605
2021-05-15,1499
2021-05-16,482
2021-05-17,253
2021-05-18,291
2021-05-19,189
2021-05-20,168
2021-05-21,274
2021-05-22,98
2021-05-23,250
2021-05-24,94
2021-05-25,96
2021-05-26,106
2021-05-27,183
2021-05-28,114
2021-05-29,117
2021-05-30,74
2021-05-31,208
2021-06-01,164
2021-06-02,173
2021-06-03,135
2021-06-04,111
2021-06-05,105
2021-06-06,85
2021-06-07,98
2021-06-08,43
2021-06-09,216
2021-06-10,59
2021-06-11,49
2021-06-12,161
2021-06-13,98
2021-06-14,163
2021-06-15,180
2021-06-16,211
2021-06-17,66
2021-06-18,131
2021-06-19,118
2021-06-20,156
2021-06-21,90
2021-06-22,64
2021-06-23,94
2021-06-24,168
2021-06-25,178
2021-06-26,66
2021-06-27,118
2021-06-28,429
2021-06-29,305
2021-06-30,162
2021-07-01,100
2021-07-02,511
2021-07-03,221
2021-07-04,588
2021-07-05,360
2021-07-06,274
2021-07-07,200
2021-07-08,177
2021-07-09,328
2021-07-10,329
2021-07-11,288
2021-07-12,178
2021-07-13,253
2021-07-14,138
2021-07-15,249
2021-07-16,112
2021-07-17,241
2021-07-18,216
2021-07-19,139
2021-07-20,252
2021-07-21,226
2021-07-22,156
2021-07-23,117
2021-07-24,103
2021-07-25,127
2021-07-26,124
2021-07-27,114
2021-07-28,76
2021-07-29,197
2021-07-30,341
2021-07-31,168
2021-08-01,266
2021-08-02,64
2021-08-03,53
2021-08-04,65
2021-08-05,73
2021-08-06,49
2021-08-07,189
2021-08-08,173
2021-08-09,123
2021-08-10,147
2021-08-11,120
2021-08-12,123
2021-08-13,112
2021-08-14,176
2021-08-15,59
2021-08-16,44
2021-08-17,224
2021-08-18,87
2021-08-19,144
2021-08-20,87
2021-08-21,85
2021-08-22,48
2021-08-23,227
2021-08-24,147
2021-08-25,204
2021-08-26,267
2021-08-27,161
2021-08-28,185
2021-08-29,201
2021-08-30,189
2021-08-31,188
2021-09-01,238
2021-09-02,173
2021-09-03,193
2021-09-04,81
2021-09-05,122
2021-09-06,263
2021-09-07,281
2021-09-08,185
2021-09-09,317
2021-09-10,345
2021-09-11,197
2021-09-12,196
2021-09-13,214
2021-09-14,219
2021-09-15,201
2021-09-16,229
2021-09-17,292
2021-09-18,171
2021-09-19,194
2021-09-20,285
2021-09-21,277
2021-09-22,265
2021-09-23,355
2021-09-24,597
2021-09-25,266
2021-09-26,387
2021-09-27,340
2021-09-28,350
2021-09-29,353
2021-09-30,453
2021-10-01,279
2021-10-02,262
2021-10-03,231
2021-10-04,329
2021-10-05,411
2021-10-06,209
2021-10-07,452
2021-10-08,640
2021-10-09,624
2021-10-10,485
2021-10-11,350
2021-10-12,356
2021-10-13,445
2021-10-14,460
2021-10-15,371
2021-10-16,352
2021-10-17,354
2021-10-18,415
2021-10-19,478
2021-10-20,335
2021-10-21,293
2021-10-22,358
2021-10-23,484
2021-10-24,251
2021-10-25,506
2021-10-26,416
2021-10-27,433
2021-10-28,387
2021-10-29,471
2021-10-30,338
2021-10-31,399
2021-11-01,509
2021-11-02,498
2021-11-03,615
2021-11-04,369
2021-11-05,384
2021-11-06,623
2021-11-07,542
2021-11-08,795
2021-11-09,566
2021-11-10,1298
2021-11-11,1700
2021-11-12,1267
2021-11-13,4668
2021-11-14,1925
2021-11-15,1589
2021-11-16,1076
2021-11-17,1365
2021-11-18,952
2021-11-19,877
2021-11-20,539
2021-11-21,441
2021-11-22,663
2021-11-23,534
2021-11-24,574
2021-11-25,371
2021-11-26,658
2021-11-27,491
2021-11-28,512
2021-11-29,424
2021-11-30,420
2021-12-01,402
2021-12-02,466
2021-12-03,496
2021-12-04,647
2021-12-05,630
2021-12-06,431
2021-12-07,598
2021-12-08,665
2021-12-09,446
2021-12-10,582
2021-12-11,335
2021-12-12,782
2021-12-13,520
2021-12-14,478
2021-12-15,415
2021-12-16,332
2021-12-17,351
2021-12-18,397
2021-12-19,980
2021-12-20,1035
2021-12-21,347
2021-12-22,3368
2021-12-23,1902
2021-12-24,1388
2021-12-25,1155
2021-12-26,1023
2021-12-27,954
2021-12-28,767
2021-12-29,843
2021-12-30,757
2021-12-31,848
2022-01-01,523
2022-01-02,340
2022-01-03,308
2022-01-04,310
2022-01-05,970
2022-01-06,326
2022-01-07,260
2022-01-08,290
2022-01-09,418
2022-01-10,296
2022-01-11,266
2022-01-12,242
2022-01-13,424
2022-01-14,349
2022-01-15,380
2022-01-16,387
2022-01-17,239
2022-01-18,301
2022-01-19,409
2022-01-20,606
2022-01-21,693
2022-01-22,598
2022-01-23,587
2022-01-24,516
2022-01-25,481
2022-01-26,315
2022-01-27,265
2022-01-28,360
2022-01-29,332
2022-01-30,346
2022-01-31,232
2022-02-01,395
2022-02-02,373
2022-02-03,301
2022-02-04,257
2022-02-05,258
2022-02-06,303
2022-02-07,333
2022-02-08,275
2022-02-09,286
2022-02-10,336
2022-02-11,397
2022-02-12,367
2022-02-13,253
2022-02-14,323
2022-02-15,380
2022-02-16,283
2022-02-17,351
2022-02-18,436
2022-02-19,382
2022-02-20,219
2022-02-21,324
2022-02-22,223
2022-02-23,296
2022-02-24,286
2022-02-25,291
2022-02-26,239
2022-02-27,264
2022-02-28,335
2022-03-01,212
2022-03-02,252
2022-03-03,278
2022-03-04,232
2022-03-05,250
2022-03-06,214
2022-03-07,209
2022-03-08,268
2022-03-09,7565
2022-03-10,2244
2022-03-11,707
2022-03-12,470
2022-03-13,381
2022-03-14,689
2022-03-15,2473
2022-03-16,1225
2022-03-17,772
2022-03-18,1643
2022-03-19,733
2022-03-20,454
2022-03-21,487
2022-03-22,378
2022-03-23,1025
2022-03-24,559
2022-03-25,2848
2022-03-26,771
2022-03-27,406
2022-03-28,339
2022-03-29,329
2022-03-30,258
2022-03-31,340
2022-04-01,211
2022-04-02,141
2022-04-03,165
2022-04-04,189
2022-04-05,410
2022-04-06,277
2022-04-07,313
2022-04-08,207
2022-04-09,409
2022-04-10,201
2022-04-11,233
2022-04-12,239
2022-04-13,175
2022-04-14,221
2022-04-15,229
2022-04-16,193
2022-04-17,176
2022-04-18,209
2022-04-19,203
2022-04-20,195
2022-04-21,144
2022-04-22,262
2022-04-23,446
2022-04-24,399
2022-04-25,398
2022-04-26,328
2022-04-27,277
2022-04-28,317
2022-04-29,189
2022-04-30,247
2022-05-01,333
2022-05-02,270
2022-05-03,264
2022-05-04,249
2022-05-05,222
2022-05-06,252
2022-05-07,3731
2022-05-08,1162
2022-05-09,374
2022-05-10,268
